,,"Table 6L: VETPOP2018 LIVING VETERANS BY STATE, AGE GROUP, GENDER, 2018-2048",,,,,,,,,,,,,,,,,,,,,
Date,9/30/2018,"Numbers from this table should be reported to the nearest 1,000. ",,,,,,,,,,,,,,,,,,,,,
Gender,Male,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Veterans ,Age Group,,,,,,,,,,,,,,,,,,,,,,
State,< 20 ,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total,,,,,,,
Alabama,138,"4,063","9,880","14,050","15,884","16,222","24,050","29,392","33,679","34,537","36,099","46,768","26,894","20,688","20,068","332,411",,,,,,,
Alaska,30,"1,186","3,586","4,513","4,802","4,151","4,969","5,700","6,565","6,151","5,879","6,964","3,546","2,471","2,472","62,986",,,,,,,
Arizona,164,"4,415","14,372","20,320","21,990","21,156","27,836","33,218","38,333","40,045","49,408","75,334","52,107","35,972","39,475","474,145",,,,,,,
Arkansas,127,"2,973","6,621","8,741","9,615","9,458","13,643","15,741","18,116","18,924","21,197","29,748","16,044","10,971","15,120","197,038",,,,,,,
California,561,"18,510","58,487","78,071","85,097","78,944","93,030","111,676","133,401","143,657","152,446","223,690","142,957","108,040","160,585","1,589,152",,,,,,,
Colorado,131,"4,004","13,736","19,511","19,840","18,921","25,926","29,507","32,136","32,889","34,437","48,724","29,735","19,164","26,757","355,416",,,,,,,
Connecticut,90,"1,956","4,430","6,260","6,839","6,824","9,156","12,127","15,510","15,094","15,797","27,687","17,698","12,349","21,946","173,762",,,,,,,
Delaware,23,557,"1,557","2,150","2,452","2,444","3,508","4,935","6,456","6,044","7,050","11,203","7,652","4,551","5,474","66,056",,,,,,,
District of Columbia,0,222,643,"1,295","1,768","1,529","1,788","2,217","3,052","3,196","1,483","2,623","1,926","1,154","3,141","26,035",,,,,,,
Florida,459,"11,355","32,868","48,422","56,015","58,266","81,333","103,027","128,343","126,873","139,339","208,224","149,637","118,240","150,313","1,412,713",,,,,,,
Georgia,254,"8,586","22,265","29,435","31,860","33,035","48,127","57,904","65,206","62,268","62,984","82,968","45,271","31,179","35,040","616,382",,,,,,,
Hawaii,15,"1,278","4,117","5,406","6,515","5,916","6,879","8,483","9,673","9,020","9,323","15,656","8,247","5,255","9,670","105,454",,,,,,,
Idaho,67,"1,203","3,555","4,837","5,411","5,420","7,412","8,940","9,848","9,725","13,050","19,396","9,605","8,539","9,152","116,160",,,,,,,
Illinois,261,"6,915","15,982","22,985","27,331","26,197","37,434","45,851","49,664","48,074","63,179","91,514","51,357","39,332","57,454","583,530",,,,,,,
Indiana,135,"4,843","11,816","16,255","16,837","16,356","26,287","34,171","39,413","37,677","41,071","58,348","34,219","24,462","31,924","393,816",,,,,,,
