,,"Table 8L: VETPOP2018 LIVING VETERANS BY STATE, RACE/ETHNICITY, GENDER, 2018-2048",,,,,,,,,,,,,
Date,9/30/2018,"Numbers from this table should be reported to the nearest 1,000. ",,,,,,,,,,,,,
Gender,Male,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Veterans ,Race/Ethnicity,,,,,,,,,,,,,,
State,All Veterans,"White, alone","Black or African American, alone","American Indian and Alaska Native, alone"," Asian, alone","Native Hawaiian and Other Pacific Islander, alone","Some other race, alone",Two or more races,Hispanic or Latino (of any race) ,"White alone, Not Hispanic or Latino",,,,,
Alabama,"332,411","247,848","73,879","2,410","1,248",158,"2,142","4,726","6,509","244,078",,,,,
Alaska,"62,986","50,596","2,801","3,706",914,701,595,"3,673","4,173","47,150",,,,,
Arizona,"474,145","417,003","23,344","9,985","4,630",658,"7,959","10,566","55,744","374,761",,,,,
Arkansas,"197,038","165,179","23,569","2,446",229,198,694,"4,722","3,754","162,379",,,,,
California,"1,589,152","1,181,205","147,338","16,780","109,194","6,165","70,246","58,225","284,494","994,724",,,,,
Colorado,"355,416","309,960","21,591","2,949","4,828",900,"7,634","7,555","40,293","281,072",,,,,
Connecticut,"173,762","153,084","14,479",549,571,1,"2,384","2,694","13,087","144,268",,,,,
Delaware,"66,056","51,362","12,857",208,116,0,77,"1,436","1,711","49,730",,,,,
District of Columbia,"26,035","10,938","13,179",435,270,37,294,882,"1,603","9,779",,,,,
Florida,"1,412,713","1,201,483","151,078","5,921","13,037",835,"15,879","24,481","135,406","1,091,622",,,,,
Georgia,"616,382","400,973","191,214","1,475","6,301",898,"6,282","9,240","23,778","386,405",,,,,
Hawaii,"105,454","42,101","4,174",390,"34,294","7,339","1,214","15,942","10,701","37,334",,,,,
Idaho,"116,160","109,081","1,875","1,239",528,75,"1,665","1,695","4,347","106,690",,,,,
Illinois,"583,530","484,778","76,720",948,"5,937",199,"6,335","8,613","31,507","461,408",,,,,
Indiana,"393,816","349,220","33,006","1,183","1,155",362,"3,923","4,968","10,434","343,629",,,,,
Iowa,"193,335","187,202","2,765",215,317,628,570,"1,637","3,541","184,499",,,,,
Kansas,"185,652","161,254","12,752","1,856","2,383",780,"1,598","5,028","9,195","153,795",,,,,
Kentucky,"270,865","238,474","26,560","1,120","1,156",405,310,"2,840","4,215","235,911",,,,,
Louisiana,"264,589","189,360","68,796","1,168","1,469",64,907,"2,826","6,886","184,542",,,,,
Maine,"105,545","102,791","1,176",131,24,0,1,"1,422",823,"102,036",,,,,
Maryland,"344,475","221,564","100,093","1,017","7,280",563,"3,116","10,842","13,338","214,470",,,,,
Massachusetts,"309,389","284,267","13,020","1,365","3,098",44,"3,220","4,375","11,376","276,413",,,,,
Michigan,"550,265","478,532","54,876","3,718","3,158",0,"1,763","8,216","14,209","468,126",,,,,
