"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Alabama","Autauga","01","001","01001","01","000","01000","10,213","3,411","33.40%"
"Alabama","Baldwin","01","003","01003","01","010","01010","46,542","15,783","33.91%"
"Alabama","Barbour","01","005","01005","01","020","01020","6,289","1,309","20.81%"
"Alabama","Bibb","01","007","01007","01","030","01030","4,807","1,896","39.44%"
"Alabama","Blount","01","009","01009","01","040","01040","12,087","5,018","41.52%"
"Alabama","Bullock","01","011","01011","01","050","01050","2,060","517","25.10%"
"Alabama","Butler","01","013","01013","01","060","01060","4,768","533","11.18%"
"Alabama","Calhoun","01","015","01015","01","070","01070","26,713","4,501","16.85%"
"Alabama","Chambers","01","017","01017","01","080","01080","8,686","1,591","18.32%"
"Alabama","Cherokee","01","019","01019","01","090","01090","6,823","1,750","25.65%"
"Alabama","Chilton","01","021","01021","01","100","01100","8,905","4,139","46.48%"
"Alabama","Choctaw","01","023","01023","01","110","01110","3,754","357","9.51%"
"Alabama","Clarke","01","025","01025","01","120","01120","6,250","1,604","25.66%"
"Alabama","Clay","01","027","01027","01","130","01130","3,603","545","15.13%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3,412","479","14.04%"
"Alabama","Coffee","01","031","01031","01","150","01150","10,110","1,006","9.95%"
"Alabama","Colbert","01","033","01033","01","160","01160","13,459","1,937","14.39%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3,552","440","12.39%"
"Alabama","Coosa","01","037","01037","01","180","01180","2,584","367","14.20%"
"Alabama","Covington","01","039","01039","01","190","01190","9,505","909","9.56%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3,446","736","21.36%"
"Alabama","Cullman","01","043","01043","01","210","01210","18,945","4,543","23.98%"
"Alabama","Dale","01","045","01045","01","220","01220","10,165","1,111","10.93%"
"Alabama","Dallas","01","047","01047","01","230","01230","9,772","2,387","24.43%"
"Alabama","DeKalb","01","049","01049","01","240","01240","15,087","3,168","21.00%"
"Alabama","Elmore","01","051","01051","01","250","01250","15,943","4,485","28.13%"
"Alabama","Escambia","01","053","01053","01","260","01260","8,571","1,817","21.20%"
"Alabama","Etowah","01","055","01055","01","270","01270","24,919","6,917","27.76%"
"Alabama","Fayette","01","057","01057","01","280","01280","4,819","682","14.15%"
"Alabama","Franklin","01","059","01059","01","290","01290","6,655","588","8.84%"
"Alabama","Geneva","01","061","01061","01","300","01300","6,710","743","11.07%"
"Alabama","Greene","01","063","01063","01","310","01310","2,223","203","9.13%"
"Alabama","Hale","01","065","01065","01","320","01320","4,012","296","7.38%"
"Alabama","Henry","01","067","01067","01","330","01330","4,574","1,057","23.11%"
"Alabama","Houston","01","069","01069","01","340","01340","22,313","3,693","16.55%"
"Alabama","Jackson","01","071","01071","01","350","01350","12,681","2,264","17.85%"
"Alabama","Jefferson","01","073","01073","01","360","01360","127,370","54,048","42.43%"
"Alabama","Lamar","01","075","01075","01","370","01370","3,860","289","7.49%"
"Alabama","Lauderdale","01","077","01077","01","380","01380","20,980","3,165","15.09%"
"Alabama","Lawrence","01","079","01079","01","390","01390","7,549","1,130","14.97%"
"Alabama","Lee","01","081","01081","01","400","01400","21,425","3,338","15.58%"
"Alabama","Limestone","01","083","01083","01","410","01410","16,369","3,294","20.12%"
"Alabama","Lowndes","01","085","01085","01","420","01420","2,779","1,091","39.26%"
"Alabama","Macon","01","087","01087","01","430","01430","4,472","1,114","24.91%"
"Alabama","Madison","01","089","01089","01","440","01440","59,957","10,645","17.75%"
"Alabama","Marengo","01","091","01091","01","450","01450","5,345","563","10.53%"
"Alabama","Marion","01","093","01093","01","460","01460","7,127","848","11.90%"
"Alabama","Marshall","01","095","01095","01","470","01470","20,055","3,210","16.01%"
"Alabama","Mobile","01","097","01097","01","480","01480","79,614","35,295","44.33%"
"Alabama","Monroe","01","099","01099","01","490","01490","5,171","753","14.56%"
"Alabama","Montgomery","01","101","01101","01","500","01500","40,770","12,017","29.48%"
"Alabama","Morgan","01","103","01103","01","510","01510","24,902","3,656","14.68%"
"Alabama","Perry","01","105","01105","01","520","01520","2,436","182","7.47%"
"Alabama","Pickens","01","107","01107","01","530","01530","4,899","377","7.70%"
"Alabama","Pike","01","109","01109","01","540","01540","6,198","1,362","21.97%"
"Alabama","Randolph","01","111","01111","01","550","01550","5,474","834","15.24%"
"Alabama","Russell","01","113","01113","01","560","01560","10,897","2,720","24.96%"
"Alabama","St. Clair","01","115","01115","01","570","01570","17,041","7,286","42.76%"
"Alabama","Shelby","01","117","01117","01","580","01580","33,637","12,427","36.94%"
"Alabama","Sumter","01","119","01119","01","590","01590","3,016","216","7.16%"
"Alabama","Talladega","01","121","01121","01","600","01600","18,980","5,214","27.47%"
"Alabama","Tallapoosa","01","123","01123","01","610","01610","10,934","1,666","15.24%"
"Alabama","Tuscaloosa","01","125","01125","01","620","01620","34,267","5,080","14.82%"
"Alabama","Walker","01","127","01127","01","630","01630","17,574","6,676","37.99%"
"Alabama","Washington","01","129","01129","01","640","01640","3,975","557","14.01%"
"Alabama","Wilcox","01","131","01131","01","650","01650","3,183","325","10.21%"
"Alabama","Winston","01","133","01133","01","660","01660","6,034","852","14.12%"
"Alabama","Pending County Designation","01","","01","","","","51","",
"Alaska","Aleutians East","02","013","02013","02","013","02013","157","*",
"Alaska","Aleutians West","02","016","02016","02","016","02016","234","*",
"Alaska","Anchorage","02","020","02020","02","020","02020","34,495","156","0.45%"
"Alaska","Bethel","02","050","02050","02","050","02050","1,335","*",
"Alaska","Bristol Bay","02","060","02060","02","060","02060","124","*",
"Alaska","Denali","02","068","02068","02","068","02068","205","*",
"Alaska","Dillingham","02","070","02070","02","070","02070","463","*",
"Alaska","Fairbanks North Star","02","090","02090","02","090","02090","10,098","46","0.46%"
"Alaska","Haines","02","100","02100","02","100","02100","558","*",
"Alaska","Juneau","02","110","02110","02","110","02110","4,443","14","0.32%"
"Alaska","Kenai Peninsula","02","122","02122","02","122","02122","10,286","48","0.47%"
"Alaska","Ketchikan Gateway","02","130","02130","02","130","02130","2,280","*",
"Alaska","Kodiak Island","02","150","02150","02","150","02150","1,484","*",
"Alaska","Lake and Peninsula","02","164","02164","02","164","02164","173","*",
"Alaska","Matanuska-Susitna","02","170","02170","02","170","02170","12,321","66","0.54%"
"Alaska","Nome","02","180","02180","02","180","02180","822","*",
"Alaska","North Slope","02","185","02185","02","185","02185","485","*",
"Alaska","Northwest Arctic","02","188","02188","02","188","02188","560","*",
"Alaska","Prince of Wales-Outer Ketchikan","02","201","02201","02","201","02201","49","",
"Alaska","Sitka","02","220","02220","02","220","02220","1,330","*",
"Alaska","Skagway-Hoonah-Angoon","02","232","02232","02","232","02232","250","*",
"Alaska","Southeast Fairbanks","02","240","02240","02","240","02240","1,119","*",
"Alaska","Valdez-Cordova","02","261","02261","02","261","02261","1,299","*",
"Alaska","Wrangell-Petersburg","02","280","02280","02","280","02280","332","*",
"Alaska","Yakutat","02","282","02282","02","282","02282","105","*",
"Alaska","Yukon-Koyukuk","02","290","02290","02","290","02290","813","*",
"Alaska","Pending County Designation","02","","02","","","","4","",
"Arizona","Apache","04","001","04001","03","000","03000","11,601","702","6.05%"
"Arizona","Cochise","04","003","04003","03","010","03010","29,049","8,822","30.37%"
"Arizona","Coconino","04","005","04005","03","020","03020","18,197","2,247","12.35%"
"Arizona","Gila","04","007","04007","03","030","03030","15,549","2,442","15.71%"
"Arizona","Graham","04","009","04009","03","040","03040","5,321","1,827","34.34%"
"Arizona","Greenlee","04","011","04011","03","050","03050","1,255","158","12.59%"
"Arizona","La Paz","04","012","04012","03","055","03055","5,233","885","16.91%"
"Arizona","Maricopa","04","013","04013","03","060","03060","621,874","261,194","42.00%"
"Arizona","Mohave","04","015","04015","03","070","03070","59,615","17,057","28.61%"
"Arizona","Navajo","04","017","04017","03","080","03080","21,201","4,024","18.98%"
"Arizona","Pima","04","019","04019","03","090","03090","200,681","92,859","46.27%"
"Arizona","Pinal","04","021","04021","03","100","03100","69,010","26,819","38.86%"
"Arizona","Santa Cruz","04","023","04023","03","110","03110","8,807","4,381","49.74%"
"Arizona","Yavapai","04","025","04025","03","120","03120","72,038","20,005","27.77%"
"Arizona","Yuma","04","027","04027","03","130","03130","31,583","6,434","20.37%"
"Arizona","Pending County Designation","04","","04","","","","12,610","",
"Arkansas","Arkansas","05","001","05001","04","000","04000","4,180","491","11.75%"
"Arkansas","Ashley","05","003","05003","04","010","04010","5,134","479","9.33%"
"Arkansas","Baxter","05","005","05005","04","020","04020","14,679","4,013","27.34%"
"Arkansas","Benton","05","007","05007","04","030","04030","38,985","12,319","31.60%"
"Arkansas","Boone","05","009","05009","04","040","04040","9,799","2,212","22.57%"
"Arkansas","Bradley","05","011","05011","04","050","04050","2,544","289","11.36%"
"Arkansas","Calhoun","05","013","05013","04","060","04060","1,217","195","16.02%"
"Arkansas","Carroll","05","015","05015","04","070","04070","6,951","2,011","28.93%"
"Arkansas","Chicot","05","017","05017","04","080","04080","2,658","376","14.15%"
"Arkansas","Clark","05","019","05019","04","090","04090","4,559","883","19.37%"
"Arkansas","Clay","05","021","05021","04","100","04100","4,121","512","12.42%"
"Arkansas","Cleburne","05","023","05023","04","110","04110","7,680","1,029","13.40%"
"Arkansas","Cleveland","05","025","05025","04","120","04120","1,922","238","12.38%"
"Arkansas","Columbia","05","027","05027","04","130","04130","5,178","625","12.07%"
"Arkansas","Conway","05","029","05029","04","140","04140","5,031","957","19.02%"
"Arkansas","Craighead","05","031","05031","04","150","04150","17,639","3,123","17.71%"
"Arkansas","Crawford","05","033","05033","04","160","04160","13,033","4,914","37.70%"
"Arkansas","Crittenden","05","035","05035","04","170","04170","8,654","1,616","18.67%"
"Arkansas","Cross","05","037","05037","04","180","04180","3,910","700","17.90%"
"Arkansas","Dallas","05","039","05039","04","190","04190","1,942","461","23.74%"
"Arkansas","Desha","05","041","05041","04","200","04200","2,842","344","12.10%"
"Arkansas","Drew","05","043","05043","04","210","04210","3,657","480","13.13%"
"Arkansas","Faulkner","05","045","05045","04","220","04220","18,114","1,986","10.96%"
"Arkansas","Franklin","05","047","05047","04","230","04230","4,097","1,176","28.70%"
"Arkansas","Fulton","05","049","05049","04","240","04240","3,582","818","22.84%"
"Arkansas","Garland","05","051","05051","04","250","04250","27,760","6,066","21.85%"
"Arkansas","Grant","05","053","05053","04","260","04260","3,756","551","14.67%"
