Report Period,link
2022-01,https://www.cms.gov/files/zip/ma-statecounty-penetration-january-2022.zip
2021-12,https://www.cms.gov/files/zip/ma-statecounty-penetration-december-2021.zip
2021-11,https://www.cms.gov/files/zip/ma-statecounty-penetration-november-2021.zip
2021-10,https://www.cms.gov/files/zip/ma-statecounty-penetration-october-2021.zip
2021-09,https://www.cms.gov/files/zip/ma-statecounty-penetration-september-2021.zip
2021-08,https://www.cms.gov/files/zip/ma-statecounty-penetration-august-2021.zip
2021-07,https://www.cms.gov/files/zip/ma-statecounty-penetration-july-2021.zip
2021-06,https://www.cms.gov/files/zip/ma-statecounty-penetration-june-2021.zip
2021-05,https://www.cms.gov/files/zip/ma-statecounty-penetration-may-2021.zip
2021-04,https://www.cms.gov/files/zip/ma-statecounty-penetration-april-2021.zip
2021-03,https://www.cms.gov/files/zip/ma-statecounty-penetration-march-2021.zip
2021-02,https://www.cms.gov/files/zip/ma-statecounty-penetration-february-2021.zip
2021-01,https://www.cms.gov/files/zip/ma-statecounty-penetration-january-2021.zip
2020-12,https://www.cms.gov/files/zip/ma-statecounty-penetration-december-2020.zip
2020-11,https://www.cms.gov/files/zip/ma-statecounty-penetration-november-2020.zip
2020-10,https://www.cms.gov/files/zip/ma-statecounty-penetration-october-2020.zip
2020-09,https://www.cms.gov/files/zip/ma-statecounty-penetration-september-2020.zip
2020-08,https://www.cms.gov/files/zip/ma-statecounty-penetration-august-2020.zip
2020-07,https://www.cms.gov/files/zip/ma-statecounty-penetration-july-2020.zip
2020-06,https://www.cms.gov/files/zip/ma-statecounty-penetration-june-2020.zip
2020-05,https://www.cms.gov/files/zip/ma-statecounty-penetration-may-2020.zip
2020-04,https://www.cms.gov/files/zip/ma-statecounty-penetration-april-2020.zip
2020-03,https://www.cms.gov/files/zip/ma-statecounty-penetration-march-2020.zip
2020-02,https://www.cms.gov/files/zip/ma-statecounty-penetration-february-2020.zip
2020-01,https://www.cms.gov/files/zip/ma-statecounty-penetration-january-2020.zip
2019-12,https://www.cms.gov/files/zip/ma-statecounty-penetration-december-2019.zip
2019-11,https://www.cms.gov/files/zip/ma-statecounty-penetration-november-2019.zip
2019-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/Oct/State-County-Penetration-MA-2019-10.zip
2019-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/Sept/State-County-Penetration-MA-2019-09.zip
2019-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/August/State-County-Penetration-MA-2019-08.zip
2019-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/July/State-County-Penetration-MA-2019-07.zip
2019-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/June/State-County-Penetration-MA-2019-06.zip
2019-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/May/State-County-Penetration-MA-2019-05.zip
2019-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/Apr/State-County-Penetration-MA-2019-04.zip
2019-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/March/State-County-Penetration-MA-2019-03.zip
2019-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/Feb/State-County-Penetration-MA-2019-02.zip
2019-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2019/Jan/State-County-Penetration-MA-2019-01.zip
2018-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2018/Dec/State-County-Penetration-MA-2018-12.zip
2018-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2018/Nov/State-County-Penetration-MA-2018-11.zip
2018-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2018/Oct/State-County-Penetration-MA-2018-10.zip
2018-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2018/Sept/State-County-Penetration-MA-2018-09.zip
2018-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2018/Aug/State-County-Penetration-MA-2018-08.zip
